model,display_name,lookback,seed,regime,n_obs,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit
PureGraphFX,PureGraphFX,20,123,normal,668,0.004655405623952118,0.0034055482985274306,0.6176646706586826,0.5923244420250409,0.009755061129813915,0.7410179640718563
PureGraphFX,PureGraphFX,20,456,FX_move_top10,89,0.01052222241041551,0.007482180945752783,0.7191011235955056,0.6670071501532175,0.023038576061882716,0.8764044943820225
PureGraphFX,PureGraphFX,20,456,Oil_shock_top10,108,0.007024481302636919,0.00446351103781008,0.6175925925925926,0.5867003367003367,0.017534950680148462,0.8148148148148148
PureGraphFX,PureGraphFX,20,456,US2Y_shock_top10,322,0.005451590367484283,0.003861788659643161,0.6611801242236025,0.6087521174477696,0.01245216973545843,0.8260869565217391
PureGraphFX,PureGraphFX,20,456,VIX_top10,82,0.007207962069681334,0.005176722180638025,0.6012195121951219,0.5973392461197339,0.015567320582341069,0.7560975609756098
PureGraphFX,PureGraphFX,20,456,all_test,1104,0.00533175482833433,0.0037451610663195595,0.640036231884058,0.604298418972332,0.012276714017963104,0.8079710144927537
PureGraphFX,PureGraphFX,20,456,composite_macro_shock_top10,103,0.006142330641887787,0.004224453435456348,0.6174757281553398,0.5849955869373346,0.013941224037093898,0.7766990291262136
PureGraphFX,PureGraphFX,20,456,normal,668,0.00454547175949759,0.0033533763319001843,0.6300898203592814,0.6003810560696788,0.009861247268583806,0.7829341317365269
Ours,Ours,20,42,FX_move_top10,89,0.010338092777599618,0.006956357163203444,0.7337078651685394,0.6796731358529111,0.02366498851965258,0.8876404494382022
Ours,Ours,20,42,Oil_shock_top10,108,0.007043256774760009,0.004214926404417249,0.6287037037037037,0.6016835016835017,0.018153795516335763,0.8055555555555556
Ours,Ours,20,42,US2Y_shock_top10,322,0.005193201860833008,0.003673997562220664,0.665527950310559,0.6168266516092603,0.01182598758795631,0.8229813664596274
